abilene-christian,Abilene Christian
incarnate-word,Incarnate Word
indiana-state,Indiana St.
indiana,Indiana
iona,Iona
iowa-state,Iowa St.
iowa,Iowa
ipfw,Fort Wayne
iupui,IUPUI
jackson-state,Jackson St.
jacksonville-state,Jacksonville St.
jacksonville,Jacksonville
james-madison,James Madison
kansas-state,Kansas St.
kansas,Kansas
kennesaw-state,Kennesaw St.
kent-state,Kent St.
kentucky,Kentucky
la-salle,La Salle
lafayette,Lafayette
lamar,Lamar
lehigh,Lehigh
liberty,Liberty
lipscomb,Lipscomb
long-beach-state,Long Beach St.
long-island-university,LIU Brooklyn
longwood,Longwood
louisiana-lafayette,Louisiana Lafayette
louisiana-monroe,Louisiana Monroe
louisiana-state,LSU
louisiana-tech,Louisiana Tech
louisville,Louisville
loyola-il,Loyola Chicago
loyola-marymount,Loyola Marymount
loyola-md,Loyola MD
maine,Maine
manhattan,Manhattan
marist,Marist
marquette,Marquette
marshall,Marshall
maryland-baltimore-county,UMBC
maryland-eastern-shore,Maryland Eastern Shore
maryland,Maryland
massachusetts-lowell,UMass Lowell
massachusetts,Massachusetts
mcneese-state,McNeese St.
memphis,Memphis
mercer,Mercer
miami-fl,Miami FL
miami-oh,Miami OH
michigan-state,Michigan St.
michigan,Michigan
middle-tennessee,Middle Tennessee
milwaukee,Milwaukee
minnesota,Minnesota
mississippi-state,Mississippi St.
mississippi-valley-state,Mississippi Valley St.
mississippi,Mississippi
missouri-kansas-city,UMKC
missouri-state,Missouri St.
missouri,Missouri
monmouth,Monmouth
montana-state,Montana St.
montana,Montana
morehead-state,Morehead St.
morgan-state,Morgan St.
mount-st-marys,Mount St. Mary's
murray-state,Murray St.
navy,Navy
nebraska-omaha,Nebraska Omaha
nebraska,Nebraska
nevada-las-vegas,UNLV
nevada,Nevada
new-hampshire,New Hampshire
new-mexico-state,New Mexico St.
new-mexico,New Mexico
new-orleans,New Orleans
niagara,Niagara
nicholls-state,Nicholls St.
njit,NJIT
norfolk-state,Norfolk St.
north-carolina-asheville,UNC Asheville
north-carolina-at,North Carolina A&T
north-carolina-central,North Carolina Central
north-carolina-greensboro,UNC Greensboro
north-carolina-state,North Carolina St.
north-carolina-wilmington,UNC Wilmington
north-carolina,North Carolina
north-dakota-state,North Dakota St.
north-dakota,North Dakota
north-florida,North Florida
north-texas,North Texas
northeastern,Northeastern
northern-arizona,Northern Arizona
northern-colorado,Northern Colorado
northern-illinois,Northern Illinois
northern-iowa,Northern Iowa
northern-kentucky,Northern Kentucky
northwestern-state,Northwestern St.
northwestern,Northwestern
notre-dame,Notre Dame
oakland,Oakland
ohio-state,Ohio St.
ohio,Ohio
oklahoma-state,Oklahoma St.
oklahoma,Oklahoma
old-dominion,Old Dominion
oral-roberts,Oral Roberts
oregon-state,Oregon St.
oregon,Oregon
pacific,Pacific
penn-state,Penn St.
pennsylvania,Penn
pepperdine,Pepperdine
pittsburgh,Pittsburgh
portland-state,Portland St.
portland,Portland
prairie-view,Prairie View A&M
presbyterian,Presbyterian
princeton,Princeton
providence,Providence
purdue,Purdue
quinnipiac,Quinnipiac
radford,Radford
rhode-island,Rhode Island
rice,Rice
richmond,Richmond
rider,Rider
robert-morris,Robert Morris
rutgers,Rutgers
sacramento-state,Sacramento St.
sacred-heart,Sacred Heart
saint-francis-pa,St. Francis PA
saint-josephs,Saint Joseph's
saint-louis,Saint Louis
saint-marys-ca,Saint Mary's
saint-peters,Saint Peter's
sam-houston-state,Sam Houston St.
samford,Samford
san-diego-state,San Diego St.
san-diego,San Diego
san-francisco,San Francisco
san-jose-state,San Jose St.
santa-clara,Santa Clara
savannah-state,ERROR
seattle,Seattle
seton-hall,Seton Hall
siena,Siena
south-alabama,South Alabama
south-carolina-state,South Carolina St.
south-carolina-upstate,ERROR
south-carolina,South Carolina
south-dakota-state,South Dakota St.
south-dakota,South Dakota
south-florida,South Florida
southeast-missouri-state,Southeast Missouri St.
southeastern-louisiana,Southeastern Louisiana
southern-california,USC
southern-illinois-edwardsville,SIU Edwardsville
southern-illinois,Southern Illinois
southern-methodist,SMU
southern-mississippi,Southern Miss
southern-utah,Southern Utah
southern,Southern
st-bonaventure,St. Bonaventure
st-francis-ny,St. Francis NY
st-johns-ny,St. John's
stanford,Stanford
stephen-f-austin,Stephen F. Austin
stetson,Stetson
stony-brook,Stony Brook
syracuse,Syracuse
temple,Temple
tennessee-martin,Tennessee Martin
tennessee-state,Tennessee St.
tennessee-tech,Tennessee Tech
tennessee,Tennessee
texas-am-corpus-christi,Texas A&M Corpus Chris
texas-am,Texas A&M
texas-arlington,UT Arlington
texas-christian,TCU
texas-el-paso,UTEP
texas-pan-american,ERROR
texas-san-antonio,UTSA
texas-southern,Texas Southern
texas-state,Texas St.
texas-tech,Texas Tech
texas,Texas
toledo,Toledo
towson,Towson
troy,Troy
tulane,Tulane
tulsa,Tulsa
ucla,UCLA
utah-state,Utah St.
utah-valley,Utah Valley
utah,Utah
valparaiso,Valparaiso
vanderbilt,Vanderbilt
vermont,Vermont
villanova,Villanova
virginia-commonwealth,VCU
virginia-military-institute,VMI
virginia-tech,Virginia Tech
virginia,Virginia
wagner,Wagner
wake-forest,Wake Forest
washington-state,Washington St.
washington,Washington
weber-state,Weber St.
west-virginia,West Virginia
western-carolina,Western Carolina
western-illinois,Western Illinois
western-kentucky,Western Kentucky
western-michigan,Western Michigan
wichita-state,Wichita St.
william-mary,William & Mary
winthrop,Winthrop
wisconsin,Wisconsin
wofford,Wofford
wright-state,Wright St.
wyoming,Wyoming
xavier,Xavier
yale,Yale
youngstown-state,Youngstown St.
